term,term_label,estimate,hc3_standard_error,ci_95_low,ci_95_high,t_value,df,p_value,analysis_scope,cohort,model,covariance
cohort_B,Cohort B vs Cohort A,-0.00631093888938,0.00332354874504,-0.0128264834648,0.000204605686033,-1.89885552267,5227,0.0576384888218,Formal cohort comparison,Combined,Model 3 plus loneliness-change-by-cohort interaction,HC3
delta_x_cohort_B,Loneliness change x Cohort B,-0.00972644143314,0.00820398076848,-0.0258096724893,0.00635678962302,-1.18557584514,5227,0.235843739472,Formal cohort comparison,Combined,Model 3 plus loneliness-change-by-cohort interaction,HC3
Intercept,Intercept,-0.232635111094,0.0169905418423,-0.265950851836,-0.199319370352,-13.6920360312,2708,2.60598590652e-41,Cohort-specific sensitivity,A,Model 3,HC3
cog_T2,Cognition at T2,1.07638583845,0.00433620036805,1.06788324162,1.08488843529,248.232495524,2708,0,Cohort-specific sensitivity,A,Model 3,HC3
ucla3_T1,Loneliness at T1,-0.000210258895369,0.00567425466229,-0.0113365666368,0.0109160488461,-0.0370548922955,2708,0.970443969248,Cohort-specific sensitivity,A,Model 3,HC3
delta_loneliness,Change in loneliness,-0.00652170403277,0.00692021006712,-0.0200911314598,0.00704772339426,-0.942414170886,2708,0.34606469919,Cohort-specific sensitivity,A,Model 3,HC3
age_T2_centered,Age at T2 (per year; centered at 75),-0.00925446683894,0.0004611003733,-0.0101586110761,-0.00835032260179,-20.0703954601,2708,1.20763305481e-83,Cohort-specific sensitivity,A,Model 3,HC3
male,Male vs Female,0.0123170408684,0.00499510527667,0.00252243667509,0.0221116450617,2.46582207705,2708,0.0137314802241,Cohort-specific sensitivity,A,Model 3,HC3
education,Education (years),-0.00199857311516,0.000940624595128,-0.00384298781585,-0.000154158414471,-2.12472980774,2708,0.0336995013374,Cohort-specific sensitivity,A,Model 3,HC3
race_black,Black/African American non-Hispanic vs White non-Hispanic,0.00617493982794,0.00859064090743,-0.0106699358643,0.0230198155202,0.71879850345,2708,0.472327096122,Cohort-specific sensitivity,A,Model 3,HC3
race_hispanic,Hispanic vs White non-Hispanic,0.0153998196978,0.0113778862398,-0.00691039922709,0.0377100386228,1.35348687562,2708,0.176013101195,Cohort-specific sensitivity,A,Model 3,HC3
race_other,Other non-Hispanic vs White non-Hispanic,0.0530891514339,0.0227910794547,0.00839948224107,0.0977788206266,2.32938292981,2708,0.0199119733493,Cohort-specific sensitivity,A,Model 3,HC3
wealth_ihs_T2,"IHS wealth at T2 (wealth/$100,000)",-0.00193163314542,0.00235459797561,-0.00654862396506,0.00268535767422,-0.820366434283,2708,0.412079448285,Cohort-specific sensitivity,A,Model 3,HC3
marital_separated_divorced,Separated/divorced vs married/partnered,0.00766763573595,0.00869958673542,-0.00939086533648,0.0247261368084,0.881379307908,2708,0.378190773328,Cohort-specific sensitivity,A,Model 3,HC3
marital_widowed,Widowed vs married/partnered,0.0147641156207,0.00593344041531,0.00312958598543,0.026398645256,2.48828918591,2708,0.0128956143604,Cohort-specific sensitivity,A,Model 3,HC3
marital_never_married,Never married vs married/partnered,0.0280785491588,0.0100507140201,0.0083707031307,0.047786395187,2.79368700599,2708,0.00524773964865,Cohort-specific sensitivity,A,Model 3,HC3
Intercept,Intercept,-0.235301189742,0.0181821609188,-0.270954783505,-0.199647595979,-12.941321485,2507,3.95622547861e-37,Cohort-specific sensitivity,B,Model 3,HC3
cog_T2,Cognition at T2,1.07752224048,0.00484289005535,1.06802576559,1.08701871538,222.495705698,2507,0,Cohort-specific sensitivity,B,Model 3,HC3
ucla3_T1,Loneliness at T1,-0.00361958204243,0.00667423918425,-0.0167071690248,0.00946800493994,-0.542321295733,2507,0.587645389197,Cohort-specific sensitivity,B,Model 3,HC3
delta_loneliness,Change in loneliness,-0.0165989611391,0.00696094439484,-0.0302487514346,-0.00294917084363,-2.38458464794,2507,0.0171723548735,Cohort-specific sensitivity,B,Model 3,HC3
age_T2_centered,Age at T2 (per year; centered at 75),-0.00992210613479,0.000426952239411,-0.0107593213463,-0.00908489092324,-23.2393818767,2507,2.34837875794e-108,Cohort-specific sensitivity,B,Model 3,HC3
male,Male vs Female,0.0278374736068,0.00508433648244,0.0178675438328,0.0378074033807,5.47514384678,2507,4.8061184083e-08,Cohort-specific sensitivity,B,Model 3,HC3
education,Education (years),-0.00272970654648,0.000965948162676,-0.00462384462731,-0.000835568465646,-2.82593481923,2507,0.004751624793,Cohort-specific sensitivity,B,Model 3,HC3
race_black,Black/African American non-Hispanic vs White non-Hispanic,0.0199880373561,0.00775884248426,0.00477364016539,0.0352024345469,2.57616228151,2507,0.0100471264552,Cohort-specific sensitivity,B,Model 3,HC3
race_hispanic,Hispanic vs White non-Hispanic,0.0109261618591,0.00950627862076,-0.00771480153663,0.0295671252548,1.1493626786,2507,0.250516100141,Cohort-specific sensitivity,B,Model 3,HC3
race_other,Other non-Hispanic vs White non-Hispanic,0.0068629514148,0.0161136051109,-0.0247343891458,0.0384602919754,0.425910363794,2507,0.670209724393,Cohort-specific sensitivity,B,Model 3,HC3
wealth_ihs_T2,"IHS wealth at T2 (wealth/$100,000)",-0.00028360320684,0.0025037048462,-0.00519314481125,0.00462593839757,-0.113273418498,2507,0.909822860035,Cohort-specific sensitivity,B,Model 3,HC3
marital_separated_divorced,Separated/divorced vs married/partnered,0.0178414219395,0.00742575150226,0.00328018641703,0.032402657462,2.40264193248,2507,0.0163493910802,Cohort-specific sensitivity,B,Model 3,HC3
marital_widowed,Widowed vs married/partnered,0.0136517769596,0.00620487532984,0.00148457057813,0.0258189833411,2.20016942064,2507,0.0278858012305,Cohort-specific sensitivity,B,Model 3,HC3
marital_never_married,Never married vs married/partnered,0.0349791296981,0.00995491898503,0.0154584226148,0.0544998367813,3.51375332644,2507,0.000449644589081,Cohort-specific sensitivity,B,Model 3,HC3
