term,term_label,estimate,hc3_standard_error,ci_95_low,ci_95_high,t_value,df,p_value,domain,domain_label,model
cohort_B,Cohort B vs Cohort A,-0.00701381973183,0.00338178146343,-0.0136435795373,-0.000384059926406,-2.07400147161,5047,0.0381297631099,friends,Friends,Model 3
Intercept,Intercept,-0.308966949291,0.00940549617368,-0.327405784946,-0.290528113635,-32.8496172435,5070,9.66597001441e-215,other_relatives,Other relatives,Model 1
cog_T2,Cognition at T2,1.09900521917,0.00328461957397,1.09256594586,1.10544449248,334.591326155,5070,0,other_relatives,Other relatives,Model 1
ucla3_T1,Loneliness at T1,0.00811344277085,0.00471444281532,-0.00112890177686,0.0173557873186,1.72097596443,5070,0.085316194819,other_relatives,Other relatives,Model 1
delta_loneliness,Change in loneliness,-0.0102782521169,0.00869518899372,-0.0273245788485,0.00676807461467,-1.18206195683,5070,0.23723655417,other_relatives,Other relatives,Model 1
contact_increased,Increased contact vs maintained frequent,-0.0036524283923,0.00570593214073,-0.0148385203392,0.00753366355458,-0.640110730764,5070,0.522129538409,other_relatives,Other relatives,Model 1
contact_decreased,Decreased contact vs maintained frequent,-0.00987279241396,0.00598505942841,-0.0216060944271,0.00186050959918,-1.64957299623,5070,0.0990922500775,other_relatives,Other relatives,Model 1
contact_maintained_infrequent,Maintained infrequent vs maintained frequent,-0.00787123144973,0.00435529885694,-0.0164094986896,0.000667035790083,-1.80727699942,5070,0.0707783512863,other_relatives,Other relatives,Model 1
delta_x_increased,Loneliness change x increased contact,-0.00921188581894,0.0131763370409,-0.0350431985698,0.0166194269319,-0.699123420291,5070,0.484506973553,other_relatives,Other relatives,Model 1
delta_x_decreased,Loneliness change x decreased contact,-0.0087282324831,0.0138274588903,-0.0358360253421,0.0183795603759,-0.631224619963,5070,0.527922121705,other_relatives,Other relatives,Model 1
delta_x_maintained_infrequent,Loneliness change x maintained infrequent,0.00329588441462,0.0114740140631,-0.0191981398998,0.025789908729,0.287247723115,5070,0.773934386521,other_relatives,Other relatives,Model 1
Intercept,Intercept,-0.235649980871,0.0125782387398,-0.260308769551,-0.210991192191,-18.7347358994,5064,8.93915373929e-76,other_relatives,Other relatives,Model 2
cog_T2,Cognition at T2,1.07720610102,0.00329222127556,1.07075192326,1.08366027878,327.197357303,5064,0,other_relatives,Other relatives,Model 2
ucla3_T1,Loneliness at T1,0.00241155774348,0.00437132872033,-0.00615813737799,0.010981252865,0.551676137342,5064,0.581194604162,other_relatives,Other relatives,Model 2
delta_loneliness,Change in loneliness,-0.00521257703836,0.00820760396461,-0.0213030310295,0.0108778769528,-0.635091198458,5064,0.525397630747,other_relatives,Other relatives,Model 2
contact_increased,Increased contact vs maintained frequent,0.000841807637153,0.00522546881036,-0.00940237152132,0.0110859867956,0.161097055155,5064,0.872023385806,other_relatives,Other relatives,Model 2
contact_decreased,Decreased contact vs maintained frequent,-0.00412013118281,0.00558600392441,-0.0150711151152,0.0068308527496,-0.737581147196,5064,0.460803189622,other_relatives,Other relatives,Model 2
contact_maintained_infrequent,Maintained infrequent vs maintained frequent,-0.00262969804432,0.00417330640596,-0.0108111837746,0.00555178768594,-0.630123405404,5064,0.528642278344,other_relatives,Other relatives,Model 2
delta_x_increased,Loneliness change x increased contact,-0.00815991731217,0.0121812080224,-0.0320403540493,0.015720519425,-0.669877511096,5064,0.502966420046,other_relatives,Other relatives,Model 2
delta_x_decreased,Loneliness change x decreased contact,-0.0103188663534,0.0128637023859,-0.0355372872576,0.0148995545509,-0.802169238982,5064,0.422492709285,other_relatives,Other relatives,Model 2
delta_x_maintained_infrequent,Loneliness change x maintained infrequent,-0.000834386445709,0.0106353150503,-0.0216842042775,0.0200154313861,-0.0784543233335,5064,0.937469762587,other_relatives,Other relatives,Model 2
age_T2_centered,Age at T2 (per year; centered at 75),-0.00932379823866,0.000307349164595,-0.00992633554595,-0.00872126093137,-30.3361756357,5064,6.90223227192e-186,other_relatives,Other relatives,Model 2
male,Male vs Female,0.0151380367929,0.00353196884815,0.00821385008822,0.0220622234976,4.28600518401,5064,1.85292129792e-05,other_relatives,Other relatives,Model 2
education,Education (years),-0.00219147942932,0.000660627201028,-0.00348659449935,-0.000896364359285,-3.31727095994,5064,0.000915424341598,other_relatives,Other relatives,Model 2
race_black,Black/African American non-Hispanic vs White non-Hispanic,0.0165393537222,0.0059744906429,0.00482676778057,0.0282519396638,2.76832866779,5064,0.00565494993667,other_relatives,Other relatives,Model 2
race_hispanic,Hispanic vs White non-Hispanic,0.015576931497,0.00740798340669,0.00105407967737,0.0300997833167,2.10272224462,5064,0.0355392879315,other_relatives,Other relatives,Model 2
race_other,Other non-Hispanic vs White non-Hispanic,0.0323534206084,0.0149479935627,0.00304888743188,0.0616579537849,2.16439888555,5064,0.0304803350441,other_relatives,Other relatives,Model 2
Intercept,Intercept,-0.235665207782,0.0127614741737,-0.260683223082,-0.210647192481,-18.4669266712,5059,9.64820996531e-74,other_relatives,Other relatives,Model 3
cog_T2,Cognition at T2,1.07744900575,0.00329926452205,1.07098101865,1.08391699285,326.572482609,5059,0,other_relatives,Other relatives,Model 3
ucla3_T1,Loneliness at T1,-0.001671025206,0.00448666593205,-0.0104668332302,0.00712478281816,-0.372442528886,5059,0.709578995383,other_relatives,Other relatives,Model 3
delta_loneliness,Change in loneliness,-0.00701900433983,0.00821454418048,-0.0231230679612,0.00908505928151,-0.854460598861,5059,0.392890291266,other_relatives,Other relatives,Model 3
contact_increased,Increased contact vs maintained frequent,0.0016666353361,0.00524153345887,-0.00860903991019,0.0119423105824,0.317967127211,5059,0.750522996328,other_relatives,Other relatives,Model 3
contact_decreased,Decreased contact vs maintained frequent,-0.00287616496063,0.00561054873413,-0.0138752699359,0.00812294001462,-0.512635233545,5059,0.608228883101,other_relatives,Other relatives,Model 3
contact_maintained_infrequent,Maintained infrequent vs maintained frequent,-0.00136053958547,0.00420038301861,-0.00959510913424,0.0068740299633,-0.323908457739,5059,0.746020730331,other_relatives,Other relatives,Model 3
delta_x_increased,Loneliness change x increased contact,-0.00910688292224,0.0121588152212,-0.0329434257151,0.0147296598706,-0.748994269308,5059,0.453895481945,other_relatives,Other relatives,Model 3
delta_x_decreased,Loneliness change x decreased contact,-0.0115130412161,0.0128663975314,-0.0367367517313,0.0137106692991,-0.894814666499,5059,0.370928738462,other_relatives,Other relatives,Model 3
delta_x_maintained_infrequent,Loneliness change x maintained infrequent,-0.00115811673306,0.0106253540977,-0.021988411711,0.0196721782449,-0.108995589456,5059,0.913210311375,other_relatives,Other relatives,Model 3
age_T2_centered,Age at T2 (per year; centered at 75),-0.0095557334581,0.000319112786289,-0.0101813327001,-0.00893013421609,-29.9446899926,5059,1.59393723046e-181,other_relatives,Other relatives,Model 3
male,Male vs Female,0.019472909911,0.00364653984133,0.0123241128125,0.0266217070094,5.34010617141,5059,9.69549991136e-08,other_relatives,Other relatives,Model 3
education,Education (years),-0.00210331041882,0.000686297198561,-0.00344875010554,-0.000757870732094,-3.06472243108,5059,0.00219020230187,other_relatives,Other relatives,Model 3
race_black,Black/African American non-Hispanic vs White non-Hispanic,0.0131598696179,0.0060172046197,0.00136354301845,0.0249561962173,2.18704040324,5059,0.0287852073899,other_relatives,Other relatives,Model 3
race_hispanic,Hispanic vs White non-Hispanic,0.0144581531953,0.00740914172382,-6.69728590008e-05,0.0289832792495,1.95139379623,5059,0.0510653335734,other_relatives,Other relatives,Model 3
race_other,Other non-Hispanic vs White non-Hispanic,0.0308125741336,0.0147859778888,0.00182565490931,0.0597994933579,2.08390505961,5059,0.0372188666705,other_relatives,Other relatives,Model 3
wealth_ihs_T2,"IHS wealth at T2 (wealth/$100,000)",-0.000761041594025,0.00174839324263,-0.00418864943151,0.00266656624346,-0.435280562444,5059,0.663377360725,other_relatives,Other relatives,Model 3
marital_separated_divorced,Separated/divorced vs married/partnered,0.0143702603185,0.00572993860838,0.003137099492,0.025603421145,2.50792570403,5059,0.0121752842941,other_relatives,Other relatives,Model 3
marital_widowed,Widowed vs married/partnered,0.0151248251463,0.00438338387581,0.00653149467513,0.0237181556174,3.45049066539,5059,0.000564142177999,other_relatives,Other relatives,Model 3
marital_never_married,Never married vs married/partnered,0.0312535983443,0.00726612543624,0.017008846142,0.0454983505466,4.30127426488,5059,1.73018065456e-05,other_relatives,Other relatives,Model 3
cohort_B,Cohort B vs Cohort A,-0.00536249358746,0.0033865954345,-0.0120016870885,0.00127669991355,-1.58344676569,5059,0.113382177605,other_relatives,Other relatives,Model 3
Intercept,Intercept,-0.312098574595,0.0096393252875,-0.330996164325,-0.293200984864,-32.3776369493,4707,8.24921231976e-208,children,Children,Model 1
cog_T2,Cognition at T2,1.09770139849,0.00341361461004,1.09100911594,1.10439368103,321.565707874,4707,0,children,Children,Model 1
ucla3_T1,Loneliness at T1,0.00607956643325,0.00497739655763,-0.00367846073852,0.015837593605,1.22143501384,4707,0.221982528496,children,Children,Model 1
delta_loneliness,Change in loneliness,-0.0194914266204,0.00620173980171,-0.0316497396656,-0.00733311357534,-3.14289654898,4707,0.0016832446788,children,Children,Model 1
contact_increased,Increased contact vs maintained frequent,0.0178083544461,0.00799595595366,0.00213253787081,0.0334841710215,2.22717015318,4707,0.0259830181679,children,Children,Model 1
contact_decreased,Decreased contact vs maintained frequent,0.00311686936605,0.00759621251124,-0.0117752629423,0.0180090016744,0.410318874233,4707,0.681590723461,children,Children,Model 1
contact_maintained_infrequent,Maintained infrequent vs maintained frequent,0.0074260506333,0.00635085370701,-0.0050245954664,0.019876696733,1.16929958961,4707,0.242342157226,children,Children,Model 1
delta_x_increased,Loneliness change x increased contact,0.0309795342659,0.0201249442658,-0.0084747769794,0.0704338455111,1.53936000303,4707,0.123783650502,children,Children,Model 1
delta_x_decreased,Loneliness change x decreased contact,0.0325327308278,0.0156198439152,0.0019105251067,0.0631549365489,2.08278206904,4707,0.0373249494369,children,Children,Model 1
delta_x_maintained_infrequent,Loneliness change x maintained infrequent,0.00919105730843,0.0161112497486,-0.0223945338732,0.0407766484901,0.570474510161,4707,0.568383135822,children,Children,Model 1
Intercept,Intercept,-0.23536687281,0.0130186339778,-0.260889497807,-0.209844247814,-18.0792296036,4701,1.09733846364e-70,children,Children,Model 2
cog_T2,Cognition at T2,1.07644659315,0.00334082471338,1.06989701072,1.08299617557,322.209839036,4701,0,children,Children,Model 2
ucla3_T1,Loneliness at T1,0.00267765706882,0.00460113706905,-0.0063427283395,0.0116980424771,0.58195550983,4701,0.560624554746,children,Children,Model 2
