term,term_label,estimate,hc3_standard_error,ci_95_low,ci_95_high,t_value,df,p_value,domain,domain_label,model
marital_separated_divorced,Separated/divorced vs married/partnered,0.0139360810966,0.00571805012965,0.00272622471363,0.0251459374796,2.43720862543,5055,0.0148353933863,other_relatives,Other relatives,Categorical-change Model 3
marital_widowed,Widowed vs married/partnered,0.0147580358422,0.00440222586837,0.00612776527255,0.0233883064119,3.35240314412,5055,0.000807018179001,other_relatives,Other relatives,Categorical-change Model 3
marital_never_married,Never married vs married/partnered,0.0311806907692,0.00720328671757,0.0170591269916,0.0453022545469,4.32867550492,5055,1.52907025623e-05,other_relatives,Other relatives,Categorical-change Model 3
cohort_B,Cohort B vs Cohort A,-0.00522975251797,0.00338669514762,-0.0118691427571,0.00140963772119,-1.54420527683,5055,0.122601207375,other_relatives,Other relatives,Categorical-change Model 3
Intercept,Intercept,-0.242316319252,0.0131200033863,-0.268037688511,-0.216594949993,-18.4692268834,4692,1.40152167368e-73,children,Children,Categorical-change Model 3
cog_T2,Cognition at T2,1.07749828017,0.00335256141033,1.07092568507,1.08407087527,321.395538603,4692,0,children,Children,Categorical-change Model 3
ucla3_T1,Loneliness at T1,0.00120647777321,0.00458064557414,-0.00777373913598,0.0101866946824,0.263385969004,4692,0.792264669622,children,Children,Categorical-change Model 3
change_decreasing,Decreasing loneliness vs stable,0.00328565471176,0.00578589993444,-0.00805742686594,0.0146287362895,0.567872716258,4692,0.570148571359,children,Children,Categorical-change Model 3
change_increasing,Increasing loneliness vs stable,-0.00457389125848,0.00497169490752,-0.0143207485416,0.00517296602465,-0.919986311221,4692,0.357627207473,children,Children,Categorical-change Model 3
contact_increased,Increased contact vs maintained frequent,0.00561337387175,0.00907949757407,-0.0121867061217,0.0234134538652,0.618247191099,4692,0.536442415544,children,Children,Categorical-change Model 3
contact_decreased,Decreased contact vs maintained frequent,-0.0149186335171,0.0108503898643,-0.0361904942087,0.00635322717445,-1.37493985965,4692,0.169215741502,children,Children,Categorical-change Model 3
contact_maintained_infrequent,Maintained infrequent vs maintained frequent,0.000602209803171,0.00796114117387,-0.0150053663406,0.0162097859469,0.0756436533431,4692,0.939705830502,children,Children,Categorical-change Model 3
decreasing_x_increased,Decreasing loneliness x increased contact,0.00583363300036,0.0175225228096,-0.0285187422445,0.0401860082452,0.332921980684,4692,0.739208051046,children,Children,Categorical-change Model 3
decreasing_x_decreased,Decreasing loneliness x decreased contact,0.0104951444376,0.0184973492769,-0.0257683485707,0.046758637446,0.567386401182,4692,0.570478831818,children,Children,Categorical-change Model 3
decreasing_x_maintained_infrequent,Decreasing loneliness x maintained infrequent,0.00993550171661,0.0138206169173,-0.01715939915,0.0370304025832,0.718889885744,4692,0.472244567994,children,Children,Categorical-change Model 3
increasing_x_increased,Increasing loneliness x increased contact,0.016969610469,0.0184015965225,-0.0191061621644,0.0530453831024,0.922181423134,4692,0.356481366815,children,Children,Categorical-change Model 3
increasing_x_decreased,Increasing loneliness x decreased contact,0.0366671924922,0.0157275670801,0.00583377358943,0.067500611395,2.33139635047,4692,0.0197745983807,children,Children,Categorical-change Model 3
increasing_x_maintained_infrequent,Increasing loneliness x maintained infrequent,0.00246428637652,0.0140565985878,-0.0250932494075,0.0300218221606,0.175311712939,4692,0.860842273444,children,Children,Categorical-change Model 3
age_T2_centered,Age at T2 (per year; centered at 75),-0.00953473508103,0.000333938462197,-0.0101894113218,-0.00888005884025,-28.5523716505,4692,1.80144217715e-165,children,Children,Categorical-change Model 3
male,Male vs Female,0.0200731350639,0.0039214146799,0.012385320356,0.0277609497717,5.11885039008,4692,3.19690196675e-07,children,Children,Categorical-change Model 3
education,Education (years),-0.0022264627018,0.000712904701657,-0.00362409077689,-0.000828834626708,-3.12308601223,4692,0.0018005542562,children,Children,Categorical-change Model 3
race_black,Black/African American non-Hispanic vs White non-Hispanic,0.0141284318055,0.00635445583474,0.00167071360574,0.0265861500053,2.22338972415,4692,0.0262369806886,children,Children,Categorical-change Model 3
race_hispanic,Hispanic vs White non-Hispanic,0.0136479502576,0.00781691371658,-0.0016768723245,0.0289727728397,1.74595124783,4692,0.0808848712062,children,Children,Categorical-change Model 3
race_other,Other non-Hispanic vs White non-Hispanic,0.0405060245383,0.0154910439715,0.0101363020261,0.0708757470506,2.61480276041,4692,0.00895645810113,children,Children,Categorical-change Model 3
wealth_ihs_T2,"IHS wealth at T2 (wealth/$100,000)",-0.000374763447744,0.00182653011988,-0.00395562042568,0.0032060935302,-0.205177808822,4692,0.837442106966,children,Children,Categorical-change Model 3
marital_separated_divorced,Separated/divorced vs married/partnered,0.0147377309606,0.00600453069737,0.00296603039409,0.0265094315271,2.45443510966,4692,0.0141466812637,children,Children,Categorical-change Model 3
marital_widowed,Widowed vs married/partnered,0.0183067460307,0.0045492239403,0.00938813028301,0.0272253617785,4.02414703496,4692,5.8082846764e-05,children,Children,Categorical-change Model 3
marital_never_married,Never married vs married/partnered,0.0521314180978,0.0140326790908,0.024620775763,0.0796420604325,3.71500108856,4692,0.000205566379527,children,Children,Categorical-change Model 3
cohort_B,Cohort B vs Cohort A,-0.00549225152729,0.00352382001801,-0.0124005939429,0.00141609088831,-1.55860727824,4692,0.119156802402,children,Children,Categorical-change Model 3
