term,term_label,estimate,hc3_standard_error,ci_95_low,ci_95_high,t_value,df,p_value,domain,domain_label,cohort,model
contact_maintained_infrequent,Maintained infrequent vs maintained frequent,0.00127025763678,0.00611781588277,-0.0107259872677,0.0132665025413,0.207632537678,2618,0.835532045888,other_relatives,Other relatives,A,Cohort-specific Model 3
delta_x_increased,Loneliness change x increased contact,-0.0136026396769,0.016536549528,-0.0460286724009,0.0188233930471,-0.822580288218,2618,0.410821625812,other_relatives,Other relatives,A,Cohort-specific Model 3
delta_x_decreased,Loneliness change x decreased contact,-0.0190525789198,0.0184734819091,-0.0552766852785,0.017171527439,-1.03134747491,2618,0.302473169228,other_relatives,Other relatives,A,Cohort-specific Model 3
delta_x_maintained_infrequent,Loneliness change x maintained infrequent,-0.00363856174545,0.0159189115124,-0.034853486283,0.0275763627922,-0.228568501221,2618,0.819222160459,other_relatives,Other relatives,A,Cohort-specific Model 3
age_T2_centered,Age at T2 (per year; centered at 75),-0.00933619488051,0.000467064523966,-0.0102520479436,-0.00842034181742,-19.9890901609,2618,7.63550372215e-83,other_relatives,Other relatives,A,Cohort-specific Model 3
male,Male vs Female,0.0111128070192,0.00512388044143,0.00106554083553,0.0211600732028,2.16882637021,2618,0.0301856194569,other_relatives,Other relatives,A,Cohort-specific Model 3
education,Education (years),-0.00175142122967,0.000969614191657,-0.00365270912864,0.000149866669294,-1.80630733826,2618,0.0709851383278,other_relatives,Other relatives,A,Cohort-specific Model 3
race_black,Black/African American non-Hispanic vs White non-Hispanic,0.00712942374022,0.00908430036644,-0.0106837131815,0.024942560662,0.784807134577,2618,0.432637665434,other_relatives,Other relatives,A,Cohort-specific Model 3
race_hispanic,Hispanic vs White non-Hispanic,0.0173360068871,0.0116529554667,-0.00551393013601,0.0401859439102,1.48769185093,2618,0.136952607642,other_relatives,Other relatives,A,Cohort-specific Model 3
race_other,Other non-Hispanic vs White non-Hispanic,0.0542775312701,0.0240288375198,0.00716009178159,0.101394970759,2.25884965202,2618,0.0239746867734,other_relatives,Other relatives,A,Cohort-specific Model 3
wealth_ihs_T2,"IHS wealth at T2 (wealth/$100,000)",-0.00158345246595,0.00240220110598,-0.00629385783437,0.00312695290247,-0.659167320343,2618,0.50984630272,other_relatives,Other relatives,A,Cohort-specific Model 3
marital_separated_divorced,Separated/divorced vs married/partnered,0.00985244372299,0.00887734574165,-0.0075548819729,0.0272597694189,1.10984116308,2618,0.267169407898,other_relatives,Other relatives,A,Cohort-specific Model 3
marital_widowed,Widowed vs married/partnered,0.0146027336775,0.00603867608679,0.00276167166708,0.0264437956879,2.41820118642,2618,0.015665287415,other_relatives,Other relatives,A,Cohort-specific Model 3
marital_never_married,Never married vs married/partnered,0.026435600726,0.0105201186796,0.00580700998006,0.0470641914719,2.51286145444,2618,0.0120352715332,other_relatives,Other relatives,A,Cohort-specific Model 3
Intercept,Intercept,-0.236899028222,0.0186229927182,-0.273417672821,-0.200380383622,-12.7207818747,2422,6.22905609037e-36,other_relatives,Other relatives,B,Cohort-specific Model 3
cog_T2,Cognition at T2,1.07783228902,0.00497918528536,1.06806838584,1.0875961922,216.467600069,2422,0,other_relatives,Other relatives,B,Cohort-specific Model 3
ucla3_T1,Loneliness at T1,-0.00371877124058,0.00698258023302,-0.0174112195906,0.00997367710939,-0.53257837597,2422,0.594374329618,other_relatives,Other relatives,B,Cohort-specific Model 3
delta_loneliness,Change in loneliness,-0.0159525978971,0.0116622860873,-0.0388216870538,0.00691649125959,-1.36787914288,2422,0.17147680696,other_relatives,Other relatives,B,Cohort-specific Model 3
contact_increased,Increased contact vs maintained frequent,-0.000718731418178,0.00770624740616,-0.0158302505214,0.014392787685,-0.0932660710587,2422,0.925699899934,other_relatives,Other relatives,B,Cohort-specific Model 3
contact_decreased,Decreased contact vs maintained frequent,0.00193988705308,0.00827732054703,-0.0142914744615,0.0181712485676,0.2343617167,2422,0.814723985785,other_relatives,Other relatives,B,Cohort-specific Model 3
contact_maintained_infrequent,Maintained infrequent vs maintained frequent,-0.0031143498414,0.00572919407831,-0.0143489782146,0.00812027853184,-0.543593007817,2422,0.586771601309,other_relatives,Other relatives,B,Cohort-specific Model 3
delta_x_increased,Loneliness change x increased contact,-0.0054577225296,0.0183983698993,-0.0415358943747,0.0306204493155,-0.296641635074,2422,0.766765555712,other_relatives,Other relatives,B,Cohort-specific Model 3
delta_x_decreased,Loneliness change x decreased contact,-0.00285283837758,0.018015874093,-0.0381809573918,0.0324752806366,-0.158351371843,2422,0.874193131138,other_relatives,Other relatives,B,Cohort-specific Model 3
delta_x_maintained_infrequent,Loneliness change x maintained infrequent,0.00187301203109,0.0140433532069,-0.0256652162497,0.0294112403119,0.133373561392,2422,0.893909033742,other_relatives,Other relatives,B,Cohort-specific Model 3
age_T2_centered,Age at T2 (per year; centered at 75),-0.00980890125378,0.000429417903351,-0.0106509656864,-0.00896683682115,-22.8423202135,2422,9.47757211009e-105,other_relatives,Other relatives,B,Cohort-specific Model 3
male,Male vs Female,0.028105917466,0.00520516520684,0.0178988803294,0.0383129546026,5.39962063626,2422,7.32868880955e-08,other_relatives,Other relatives,B,Cohort-specific Model 3
education,Education (years),-0.00257450360178,0.000999212860279,-0.00453390399869,-0.000615103204876,-2.57653169222,2422,0.0100384188327,other_relatives,Other relatives,B,Cohort-specific Model 3
race_black,Black/African American non-Hispanic vs White non-Hispanic,0.0192781446931,0.00797931891613,0.00363114766896,0.0349251417173,2.41601380967,2422,0.0157650054845,other_relatives,Other relatives,B,Cohort-specific Model 3
race_hispanic,Hispanic vs White non-Hispanic,0.0108132815357,0.00971763448594,-0.00824245486008,0.0298690179314,1.11274832896,2422,0.265926961566,other_relatives,Other relatives,B,Cohort-specific Model 3
race_other,Other non-Hispanic vs White non-Hispanic,0.00635977536787,0.0161950630796,-0.0253978353351,0.0381173860708,0.392698400531,2422,0.694576809346,other_relatives,Other relatives,B,Cohort-specific Model 3
wealth_ihs_T2,"IHS wealth at T2 (wealth/$100,000)",-2.35469604498e-05,0.00255297571164,-0.00502978919524,0.00498269527434,-0.00922333900099,2422,0.99264170416,other_relatives,Other relatives,B,Cohort-specific Model 3
marital_separated_divorced,Separated/divorced vs married/partnered,0.0183249434917,0.00757866257149,0.00346361109612,0.0331862758874,2.41796534928,2422,0.0156809167017,other_relatives,Other relatives,B,Cohort-specific Model 3
marital_widowed,Widowed vs married/partnered,0.0147403980018,0.00637439749758,0.0022405618975,0.0272402341061,2.31243784332,2422,0.0208370257598,other_relatives,Other relatives,B,Cohort-specific Model 3
marital_never_married,Never married vs married/partnered,0.0350643586503,0.0102576261662,0.0149497288448,0.0551789884558,3.41836971655,2422,0.00064038876713,other_relatives,Other relatives,B,Cohort-specific Model 3
Intercept,Intercept,-0.236281680245,0.0182477854618,-0.272064396155,-0.200498964335,-12.9485126148,2445,3.87069326846e-37,children,Children,A,Cohort-specific Model 3
cog_T2,Cognition at T2,1.07555260119,0.00450629951488,1.06671604205,1.08438916033,238.677566291,2445,0,children,Children,A,Cohort-specific Model 3
ucla3_T1,Loneliness at T1,-0.000941148160662,0.00627044015291,-0.0132370719094,0.0113547755881,-0.150092838415,2445,0.880703750134,children,Children,A,Cohort-specific Model 3
delta_loneliness,Change in loneliness,-0.014988088615,0.00784605389325,-0.0303736880382,0.000397510808172,-1.91027092331,2445,0.056215213681,children,Children,A,Cohort-specific Model 3
contact_increased,Increased contact vs maintained frequent,0.00560201135911,0.0107861703539,-0.015548964486,0.0267529872042,0.519369820362,2445,0.603549883005,children,Children,A,Cohort-specific Model 3
contact_decreased,Decreased contact vs maintained frequent,0.00128392559785,0.00990586359264,-0.0181408261628,0.0207086773585,0.129612687056,2445,0.89688352649,children,Children,A,Cohort-specific Model 3
contact_maintained_infrequent,Maintained infrequent vs maintained frequent,0.000863419681058,0.00880894436499,-0.016410345091,0.0181371844531,0.0980162486313,2445,0.921927425163,children,Children,A,Cohort-specific Model 3
delta_x_increased,Loneliness change x increased contact,0.0505356048612,0.0292131390991,-0.00674945361391,0.107820663336,1.72989300087,2445,0.083775590871,children,Children,A,Cohort-specific Model 3
delta_x_decreased,Loneliness change x decreased contact,0.0266216682232,0.0231186138346,-0.018712424114,0.0719557605603,1.15152527801,2445,0.249628791901,children,Children,A,Cohort-specific Model 3
delta_x_maintained_infrequent,Loneliness change x maintained infrequent,-0.00441117775803,0.0216478277676,-0.046861154644,0.038038799128,-0.203769995096,2445,0.838550199158,children,Children,A,Cohort-specific Model 3
age_T2_centered,Age at T2 (per year; centered at 75),-0.0092532457573,0.000491937583694,-0.0102179032408,-0.00828858827381,-18.8097963319,2445,7.97710702792e-74,children,Children,A,Cohort-specific Model 3
male,Male vs Female,0.0127068405428,0.0055286562718,0.00186550655457,0.0235481745311,2.29835965886,2445,0.0216253380418,children,Children,A,Cohort-specific Model 3
education,Education (years),-0.00176936962839,0.00102623326862,-0.00378174606635,0.000243006809567,-1.72413980573,2445,0.0848090080584,children,Children,A,Cohort-specific Model 3
race_black,Black/African American non-Hispanic vs White non-Hispanic,0.0053599723852,0.00952566428026,-0.0133192333467,0.0240391781171,0.562687517374,2445,0.573699273401,children,Children,A,Cohort-specific Model 3
race_hispanic,Hispanic vs White non-Hispanic,0.0154886764587,0.0125801009938,-0.00918008024716,0.0401574331645,1.23120446063,2445,0.218364818087,children,Children,A,Cohort-specific Model 3
race_other,Other non-Hispanic vs White non-Hispanic,0.0529669746707,0.0255012829793,0.00296062370309,0.102973325638,2.07703176008,2445,0.0379028127241,children,Children,A,Cohort-specific Model 3
wealth_ihs_T2,"IHS wealth at T2 (wealth/$100,000)",-0.00201262205401,0.0025218144166,-0.00695773547808,0.00293249137007,-0.798084918841,2445,0.424898718672,children,Children,A,Cohort-specific Model 3
marital_separated_divorced,Separated/divorced vs married/partnered,0.00953046309749,0.00940135104064,-0.00890497248785,0.0279658986828,1.01373335133,2445,0.310810310168,children,Children,A,Cohort-specific Model 3
marital_widowed,Widowed vs married/partnered,0.0200660840246,0.0063127684642,0.00768715722096,0.0324450108281,3.17865040328,2445,0.00149811053969,children,Children,A,Cohort-specific Model 3
marital_never_married,Never married vs married/partnered,0.0576029224303,0.0202727141772,0.0178494535153,0.0973563913453,2.8414015966,2445,0.0045287793158,children,Children,A,Cohort-specific Model 3
Intercept,Intercept,-0.241622250321,0.0188841913892,-0.278654667003,-0.20458983364,-12.794948184,2232,3.1737192496e-36,children,Children,B,Cohort-specific Model 3
cog_T2,Cognition at T2,1.07816129121,0.0049531064747,1.06844811371,1.0878744687,217.6737562,2232,0,children,Children,B,Cohort-specific Model 3
ucla3_T1,Loneliness at T1,-0.00276864951412,0.00722378248814,-0.0169346848823,0.0113973858541,-0.383268671041,2232,0.701557065411,children,Children,B,Cohort-specific Model 3
delta_loneliness,Change in loneliness,-0.0187607090333,0.00861899353415,-0.0356627914872,-0.00185862657948,-2.17667050787,2232,0.0296096566505,children,Children,B,Cohort-specific Model 3
contact_increased,Increased contact vs maintained frequent,0.021851451719,0.00995670079039,0.00232608868666,0.0413768147513,2.19464782351,2232,0.0282915602966,children,Children,B,Cohort-specific Model 3
contact_decreased,Decreased contact vs maintained frequent,-0.00412409278139,0.0102866700551,-0.024296534582,0.0160483490192,-0.40091621091,2232,0.688520188663,children,Children,B,Cohort-specific Model 3
contact_maintained_infrequent,Maintained infrequent vs maintained frequent,0.00777285526548,0.0076256283703,-0.00718121088698,0.0227269214179,1.01930685421,2232,0.308167780607,children,Children,B,Cohort-specific Model 3
delta_x_increased,Loneliness change x increased contact,-0.0047084972168,0.020644135609,-0.0451922127306,0.0357752182969,-0.22807916524,2232,0.819605588701,children,Children,B,Cohort-specific Model 3
delta_x_decreased,Loneliness change x decreased contact,0.0480198284056,0.0214934191634,0.00587064457396,0.0901690122373,2.23416423607,2232,0.0255709371092,children,Children,B,Cohort-specific Model 3
delta_x_maintained_infrequent,Loneliness change x maintained infrequent,0.0193283413031,0.0161809327738,-0.0124029111732,0.0510595937794,1.19451341732,2232,0.232404115537,children,Children,B,Cohort-specific Model 3
age_T2_centered,Age at T2 (per year; centered at 75),-0.0099356002484,0.000444760854957,-0.01080778847,-0.00906341202678,-22.3391967564,2232,6.25787613925e-100,children,Children,B,Cohort-specific Model 3
male,Male vs Female,0.0279929966724,0.00548914052308,0.0172286417214,0.0387573516234,5.09970487269,2232,3.68841202268e-07,children,Children,B,Cohort-specific Model 3
education,Education (years),-0.00293701852112,0.00098919597003,-0.00487685891922,-0.000997178123029,-2.96909673119,2232,0.00301858282729,children,Children,B,Cohort-specific Model 3
race_black,Black/African American non-Hispanic vs White non-Hispanic,0.023059871683,0.00839846610196,0.00659024956541,0.0395294938005,2.74572420761,2232,0.0060861645289,children,Children,B,Cohort-specific Model 3
race_hispanic,Hispanic vs White non-Hispanic,0.00866833649292,0.0101441700573,-0.0112246589079,0.0285613318937,0.854514114409,2232,0.392911898179,children,Children,B,Cohort-specific Model 3
race_other,Other non-Hispanic vs White non-Hispanic,0.0226810288981,0.0153162665547,-0.00735458943332,0.0527166472295,1.4808457934,2232,0.138788813035,children,Children,B,Cohort-specific Model 3
wealth_ihs_T2,"IHS wealth at T2 (wealth/$100,000)",0.00167038687779,0.00263158436284,-0.00349022215489,0.00683099591048,0.634745707332,2232,0.525659334416,children,Children,B,Cohort-specific Model 3
marital_separated_divorced,Separated/divorced vs married/partnered,0.0218430729939,0.0077925160696,0.00656173549093,0.0371244104969,2.80308347122,2232,0.00510539205762,children,Children,B,Cohort-specific Model 3
marital_widowed,Widowed vs married/partnered,0.0182605292864,0.00656010758245,0.00539597859083,0.0311250799819,2.78357161935,2232,0.00542169498895,children,Children,B,Cohort-specific Model 3
marital_never_married,Never married vs married/partnered,0.0381433101655,0.0205485595009,-0.0021529779817,0.0784395983128,1.85625226741,2232,0.0635493066792,children,Children,B,Cohort-specific Model 3
